EURUSD,GBPUSD,USDCHF,USDJPY,USDCAD,AUDUSD,NZDUSD,GBPAUD,AUDCAD,AUDCHF,AUDJPY,AUDNZD,EURAUD,EURCAD,EURCHF,EURGBP,EURJPY,EURNZD,CHFJPY,GBPCHF,NZDCHF,CADCHF,CADJPY,GBPCAD,NZDCAD,GBPJPY,GBPNZD,NZDJPY
111654,129348,100876,114021,136708,73864,69455,175874,100863,74479,84214,106271,147126,148457,109653,83980,124001,156442,113026,130505,70019,73870,83516,177443,94904,147446,186766,79195
111642,129320,100867,114002,136692,73839,69437,175910,100820,74484,84219,106267,147155,148370,109674,83986,123975,156392,113024,130483,70025,73860,83485,177501,94890,147447,186776,79213
111640,129339,100873,114029,136610,73817,69454,175982,100810,74502,84178,106223,147151,148435,109724,84011,123943,156454,113063,130529,70049,73865,83515,177566,94863,147511,186882,79189
111646,129366,100871,114017,136512,73806,69467,176032,100763,74484,84170,106201,147126,148421,109671,84040,123930,156498,113061,130492,70086,73872,83502,177581,94837,147480,186879,79186
111638,129349,100835,114063,136542,73803,69447,176041,100752,74499,84149,106178,147214,148407,109646,84047,123941,156441,113090,130468,70090,73808,83536,177618,94840,147513,186863,79202
111634,129328,100813,114060,136522,73766,69469,176106,100752,74525,84179,106172,147261,148395,109643,84032,123973,156397,113091,130452,70037,73796,83546,177614,94803,147478,186884,79242
111638,129300,100801,114047,136529,73785,69477,176177,100687,74516,84136,106150,147261,148351,109623,84031,123944,156427,113109,130421,70048,73798,83490,177693,94829,147491,186881,79219
111632,129329,100828,114021,136530,73779,69488,176123,100767,74456,84148,106145,147254,148502,109635,84036,123981,156442,113082,130403,70065,73822,83477,177665,94847,147480,186815,79238
111633,129345,100859,114029,136512,73782,69468,176135,100752,74439,84120,106150,147303,148487,109608,84041,123960,156420,113029,130394,70044,73849,83495,177674,94808,147517,186823,79231
111652,129368,100866,114030,136588,73767,69480,176164,100741,74442,84129,106127,147339,148485,109607,84062,124002,156412,113035,130399,70038,73872,83501,177701,94890,147495,186821,79250
111651,129350,100878,114015,136577,73770,69494,176178,100716,74401,84113,106129,147348,148473,109633,84050,123973,156451,113084,130413,70032,73867,83495,177684,94893,147496,186900,79226
111661,129369,100886,114028,136557,73779,69477,176175,100711,74396,84105,106127,147353,148441,109653,84044,123996,156401,113090,130476,70037,73880,83525,177789,94897,147521,186732,79233
111661,129373,100874,114090,136551,73758,69446,176160,100700,74371,84128,106121,147382,148394,109656,84055,123993,156365,113057,130495,70036,73834,83554,177894,94861,147578,186895,79249
111662,129349,100889,114101,136543,73726,69435,176211,100692,74366,84149,106123,147359,148399,109649,84030,123958,156374,113121,130488,70069,73855,83575,177857,94874,147611,186857,79273
111662,129373,100833,114058,136509,73716,69458,176225,100632,74370,84119,106091,147325,148338,109628,84022,123964,156413,113165,130508,70088,73813,83498,177776,94871,147586,186872,79246
111686,129398,100815,114140,136534,73720,69469,176201,100677,74393,84075,106095,147342,148430,109624,84023,124010,156437,113139,130522,70080,73808,83569,177736,94863,147719,187080,79204
111680,129422,100850,114117,136513,73730,69453,176182,100664,74411,84140,106155,147371,148430,109650,83988,123992,156400,113116,130566,70051,73851,83555,177675,94809,147712,187127,79291
111719,129440,100867,114072,136588,73753,69439,176232,100678,74402,84136,106164,147403,148423,109589,83976,123953,156378,113080,130512,70034,73886,83532,177754,94845,147669,187108,79283
111680,129451,100898,114089,136571,73747,69448,176161,100697,74372,84132,106147,147412,148423,109584,83969,124054,156441,113150,130504,70067,73859,83562,177764,94863,147685,187114,79236
111663,129448,100886,114071,136568,73750,69408,176202,100666,74353,84135,106172,147390,148347,109592,83957,124030,156422,113266,130542,70039,73873,83574,177700,94877,147661,187114,79229
111651,129450,100905,114180,136549,73718,69395,176235,100638,74368,84122,106176,147361,148305,109611,83961,123998,156400,113272,130563,70007,73875,83596,177638,94838,147736,186874,79227
111682,129391,100877,114280,136519,73708,69381,176108,100667,74336,84169,106180,147331,148346,109599,83939,123982,156428,113235,130549,70021,73841,83698,177557,94806,147898,186825,79257
111691,129420,100874,114309,136478,73696,69395,176051,100615,74351,84230,106172,147333,148289,109583,83939,123963,156461,113238,130560,70041,73828,83705,177578,94786,147851,186796,79311
111700,129343,100855,114242,136572,73707,69379,176017,100621,74367,84238,106179,147326,148255,109556,83942,124028,156420,113250,130509,70023,73808,83639,177519,94795,147831,186668,79316
