EURUSD,GBPUSD,USDCHF,USDJPY,USDCAD,AUDUSD,NZDUSD,GBPAUD,AUDCAD,AUDCHF,AUDJPY,AUDNZD,EURAUD,EURCAD,EURCHF,EURGBP,EURJPY,EURNZD,CHFJPY,GBPCHF,NZDCHF,CADCHF,CADJPY,GBPCAD,NZDCAD,GBPJPY,GBPNZD,NZDJPY,XAUUSD
126655,160325,95373,107924,112458,87753,78431,182891,98117,83597,94458,111852,144314,142238,121101,78958,136101,161332,113006,152777,74923,84847,96288,181661,90042,172030,202236,84777,1289464
126704,160351,95364,108134,112360,87626,78313,182762,98080,83642,94357,111860,144262,142212,121134,78875,136358,161254,113153,152954,74979,84971,96272,181767,89852,172171,201865,84603,1291475
126594,160346,95361,108157,112314,87722,78383,182743,98178,83592,94695,111883,144322,141985,121147,78920,136551,161455,113152,152900,74931,84880,96241,181931,89677,172241,201979,84666,1290965
126500,160325,95385,108217,112369,87583,78179,182847,98246,83570,94717,111997,144348,142122,121163,78832,136533,161426,113332,153045,74993,84882,96368,181798,89617,172191,202398,84622,1291710
126469,160282,95363,108228,112340,87608,78228,182768,98318,83522,94710,111954,144415,142107,121274,78876,136765,161658,113421,152943,74954,84886,96397,181927,89477,172177,202102,84489,1290718
126562,160208,95409,108192,112327,87577,78212,183020,98283,83487,94758,111950,144487,142112,121294,78909,136892,161626,113369,152862,75123,84938,96349,182040,89746,172123,201533,84681,1288340
126412,160290,95435,108151,112282,87544,78116,182953,98301,83571,94878,112030,144317,141988,121245,78957,136811,161680,113439,152788,75209,84953,96323,182408,89664,171957,201717,84604,1289841
126470,160278,95476,108258,112302,87599,78215,182964,98382,83573,94781,111941,144342,142010,121239,78856,136884,161907,113431,152922,75061,84964,96142,182408,89586,172115,201717,84671,1289752
126490,160357,95482,108298,112239,87586,78122,183205,98422,83544,94815,112064,144396,141987,121213,78881,136858,161605,113389,152940,75117,84969,96232,182426,89454,172197,202097,84636,1301928
126507,160251,95447,108181,112247,87595,78271,183175,98422,83495,94750,111875,144482,141982,121196,78877,136825,161794,113452,152939,75033,84875,96214,182354,89613,172000,202138,84375,1307452
126448,160340,95444,108160,112294,87538,78258,183145,98464,83204,94682,111835,144968,142114,121214,78923,136910,161567,113478,152856,75001,84913,96257,182393,89695,172470,202636,84534,1308319
126447,160346,95393,108001,112220,87291,78122,183250,98692,83320,94838,111701,144761,142051,121193,78919,136944,161609,113411,152836,75065,84956,96222,182363,89620,172844,202183,84500,1304989
126502,160286,95443,108030,112208,87431,78254,183193,98815,83334,94855,111694,144728,141966,121203,78931,136857,161947,113376,152811,75126,84988,96219,182436,89497,172892,202423,84560,1307537
126488,160376,95424,107998,112144,87409,78241,183242,98748,83448,94765,111686,144532,141916,121223,78927,136816,161711,113287,152814,75213,84966,96257,182389,89386,173371,202727,84608,1307678
126554,160441,95271,107981,112185,87550,78310,182905,98775,83482,94681,111767,144484,141965,121203,78903,136684,161661,113338,152861,75083,84972,96507,182400,89298,173432,202585,84609,1307971
126581,160391,95308,107966,112172,87574,78365,182435,98848,83551,94277,111718,144357,141945,121219,78867,136748,161567,113260,152950,75239,84943,96433,182314,89544,173523,202445,84578,1306701
126520,160253,95243,107957,112277,87647,78373,182261,98901,83494,94453,111805,144447,141982,121161,78889,136647,161438,113272,152899,75254,85072,96416,182345,89404,173519,202185,84792,1305606
126552,160309,95216,108094,112144,87539,78243,182268,98768,83634,94401,111851,144189,141759,121181,78904,136659,161422,113237,152851,75141,84965,96441,182245,89317,173417,202565,84731,1306318
126544,160633,95309,108242,112132,87657,78332,182242,98804,83600,94539,111871,144226,141915,121171,78844,136631,161587,113233,152954,75008,85036,96310,182253,89448,173266,202672,84781,1305913
126540,160384,95368,108162,112173,87739,78341,182090,98704,83703,94551,111970,144094,141835,121174,78778,136616,161329,113319,153056,74758,85006,96382,181983,89338,173530,202611,84778,1306665
126462,160404,95402,108171,112116,87741,78375,182442,98940,83672,94624,111919,144106,141852,121228,78830,136703,161520,113432,153005,74627,84983,96304,181757,89433,173577,202436,84749,1306380
126405,160514,95350,108146,112074,87789,78390,182511,98989,83683,94625,111962,144090,141885,121174,78870,136828,161289,113497,152888,74912,84873,96341,181938,89328,173480,202104,84877,1306955
126557,160605,95446,107952,112063,87851,78507,182923,98884,83772,94881,111874,143908,142040,121247,78865,136890,161363,113375,152899,74922,84818,96366,181650,89319,173329,202182,84982,1306430
