EURUSD,GBPUSD,USDCHF,USDJPY,USDCAD,AUDUSD,NZDUSD,GBPAUD,AUDCAD,AUDCHF,AUDJPY,AUDNZD,EURAUD,EURCAD,EURCHF,EURGBP,EURJPY,EURNZD,CHFJPY,GBPCHF,NZDCHF,CADCHF,CADJPY,GBPCAD,NZDCAD,GBPJPY,GBPNZD,NZDJPY,XAUUSD
116281,129740,95144,111966,125658,79563,73990,162962,100117,75698,88992,107485,145946,146384,110643,89619,130085,156822,117607,123394,70057,75517,88896,163820,92662,145961,175245,82925,1245643
116237,129715,95149,111985,125765,79555,73999,162921,100114,75688,89032,107469,145987,146409,110633,89631,130056,156747,117638,123378,70088,75528,88943,163850,92675,145888,175258,82940,1245313
116282,129726,95140,111910,125840,79550,74006,162967,100159,75696,89054,107458,146019,146382,110620,89658,130117,156859,117608,123392,70079,75521,88997,163873,92624,145977,175258,83003,1245193
116275,129718,95136,111940,125804,79560,73969,163003,100148,75698,89057,107462,146045,146386,110626,89648,130118,156913,117577,123393,70120,75521,89027,163995,92643,145975,175268,82965,1244793
116322,129716,95138,111885,125819,79553,73945,162944,100146,75653,89085,107509,146005,146383,110631,89651,130151,156910,117578,123370,70086,75519,89054,164117,92627,145985,175253,82943,1244483
116300,129720,95139,111873,125882,79526,74017,162981,100150,75669,89095,107509,146027,146379,110622,89633,130183,156941,117555,123347,70142,75537,89034,164164,92670,146104,175181,82930,1244203
116303,129725,95182,111872,125870,79513,74034,162996,100139,75663,89122,107385,146014,146439,110642,89627,130197,156901,117549,123376,70152,75516,88964,164171,92676,146054,175261,82889,1245053
116296,129736,95179,111899,125901,79502,74041,163053,100139,75648,89121,107349,146008,146434,110629,89651,130173,157062,117567,123350,70139,75514,88993,164098,92670,146003,175270,82928,1245243
116312,129735,95145,111854,125873,79533,74056,163010,100134,75662,89082,107380,146046,146449,110630,89657,130136,157083,117571,123341,70196,75521,88983,164373,92692,145894,175093,82833,1245603
116334,129693,95175,111838,125873,79523,73990,163060,100150,75681,89078,107341,146131,146408,110629,89682,130163,157103,117515,123336,70184,75509,88954,164483,92673,145955,175038,82800,1245103
116320,129688,95132,111837,125873,79461,74017,163005,100158,75660,89026,107359,146105,146432,110615,89649,130151,157105,117581,123328,70203,75489,88905,164466,92673,146001,175033,82788,1245583
116321,129645,95154,111844,125857,79480,73955,162998,100156,75644,89066,107344,146148,146440,110619,89663,130111,157131,117576,123325,70155,75502,88904,164599,92637,145695,174994,82748,1245913
116278,129642,95133,111821,125886,79422,73966,162991,100134,75639,89032,107359,146117,146440,110632,89677,130115,157112,117589,123332,70205,75519,88883,164364,92557,145903,175155,82771,1246613
116258,129631,95072,111891,125885,79431,73982,162986,100123,75662,89020,107347,146152,146466,110632,89682,130139,157100,117586,123341,70252,75567,88873,164603,92587,145937,175103,82759,1246493
116272,129636,95079,111878,125902,79400,73987,162816,100167,75647,89020,107282,146129,146517,110616,89689,130095,157122,117563,123302,70240,75577,88873,164713,92601,145849,175128,82768,1245853
116269,129636,95100,111909,125916,79340,74027,162991,100177,75590,88994,107199,146128,146472,110627,89700,130099,157146,117592,123277,70228,75541,88843,164596,92645,145859,175061,82780,1245363
116280,129643,95143,111886,125959,79332,73955,163041,100081,75609,88971,107129,146145,146441,110606,89684,130103,157012,117567,123302,70233,75580,88813,164963,92600,145994,175129,82719,1246003
116297,129651,95136,111858,125953,79234,74012,163042,100088,75590,88968,107101,146193,146346,110614,89681,130102,156979,117612,123296,70231,75556,88827,165097,92663,146014,175044,82743,1246393
116280,129551,95172,111887,125956,79254,74204,162985,99998,75596,88981,107046,146195,146312,110628,89707,130032,156977,117613,123260,70338,75553,88823,165147,92647,145760,174985,82815,1244943
116280,129529,95141,111864,125963,79335,74193,162986,99990,75537,88957,106876,146182,146389,110603,89714,130089,156959,117683,123278,70297,75527,88795,165117,92631,145780,175143,82851,1244593
116225,129600,95143,111958,125990,79336,74096,162990,99961,75506,88980,106891,146141,146328,110615,89701,130086,157079,117680,123301,70319,75508,88820,165049,92648,145725,175082,82849,1244573
116217,129554,95141,111958,125969,78970,74064,163015,99866,75464,88957,106537,146167,146375,110631,89717,130112,157029,117669,123272,70381,75518,88815,165078,92619,145644,174695,82845,1245063
116263,129572,95136,111984,125946,78793,74183,163022,99842,75387,88962,106346,146206,146358,110627,89742,130110,157089,117706,123289,70482,75485,88836,164945,92641,145589,174734,82795,1244383
116239,129566,95151,112014,125921,78862,74100,162964,99745,75390,88986,106265,146227,146424,110631,89715,130093,157045,117714,123253,70493,75487,88816,164817,92608,145522,174863,82805,1244793
116291,129618,95125,111958,125903,78771,74132,162992,99784,75421,88952,106267,146181,146434,110629,89703,130108,157079,117635,123323,70643,75518,88773,164863,92695,145515,174965,82805,1245013
116248,129671,95125,112017,125917,78859,74132,163124,99847,75426,88903,106338,146224,146423,110628,89708,130083,157045,117653,123340,70595,75528,88813,164787,92694,145327,174719,82819,1244913
116283,129677,95108,111998,125891,78823,74174,163094,99844,75096,88909,106288,146313,146508,110623,89701,130127,157023,117655,123348,70599,75528,88813,164747,92625,145370,174863,82856,1245943
116338,129611,95098,111851,125874,78824,74210,163085,99451,74958,88918,106230,146280,146468,110615,89745,130113,157115,117627,123349,70464,75517,88903,164696,92670,145249,174842,82882,1246513
116335,129629,95043,111878,125905,78876,74154,163045,99263,75021,88925,106244,146315,146428,110619,89669,130203,157044,117646,123359,70370,75507,88913,164641,92682,145296,174857,82886,1247323
116327,129654,95041,111905,125923,78852,74212,163198,99306,74961,88913,106293,146290,146434,110633,89668,130212,156710,117644,123350,70454,75467,88927,164609,92687,145268,174741,82849,1246913
116246,129614,94967,111926,125874,78936,74222,163259,99216,75020,88870,106326,146406,146433,110624,89679,130201,156731,117643,123351,70395,75497,88973,164648,92683,145294,174673,82899,1247103
116268,129655,95001,111939,125868,78962,74235,163302,99296,74990,88815,106348,146486,146455,110627,89674,130222,156925,117662,123351,70332,75502,88935,164573,92669,145264,174776,83004,1247913
116244,129663,94976,111978,125948,79005,74234,163496,99268,74987,88753,106386,146566,146477,110663,89669,130239,156880,117737,123364,70340,75511,88963,164631,92673,145469,174706,83013,1246293
116276,129657,95014,111942,126000,79034,74231,163519,99283,75033,88763,106425,146692,146546,110674,89674,130131,156659,117747,123384,70273,75533,88933,164626,92693,145550,174716,82924,1246633
116278,129665,95035,111964,125942,79093,74270,163420,99392,75023,88737,106505,146699,146484,110716,89671,130160,156807,117721,123402,70268,75528,88853,164588,92724,145326,174739,82903,1246713
116277,129643,95073,112033,125973,79073,74255,163428,99341,75081,88757,106426,146619,146462,110766,89669,130183,156779,117650,123423,70168,75473,88876,164631,92684,145457,174786,83044,1246913
116281,129694,95080,112034,125935,79085,74296,164089,99412,75105,88373,106466,146614,146452,110827,89653,130114,156778,117682,123379,70264,75512,88843,164634,92737,145358,174826,82983,1246483
116259,129716,95100,112029,125954,79098,74349,164483,99430,75130,88187,106427,147284,146418,110701,89642,130155,156694,117684,123403,70275,75459,88823,164626,92657,145431,174777,82993,1246313
116283,129759,95087,111928,125976,79086,74264,164376,99433,75153,88275,106333,147508,146421,110690,89635,130174,156617,117659,123390,70201,75513,88874,164655,92696,145449,174933,83009,1245683
