EURUSD,GBPUSD,USDCHF,USDJPY,USDCAD,AUDUSD,NZDUSD,GBPAUD,AUDCAD,AUDCHF,AUDJPY,AUDNZD,EURAUD,EURCAD,EURCHF,EURGBP,EURJPY,EURNZD,CHFJPY,GBPCHF,NZDCHF,CADCHF,CADJPY,GBPCAD,NZDCAD,GBPJPY,EURUSD,GBPNZD,XAUUSD
109973,123190,98871,103438,99331,76823,72112,159475,100562,75949,79461,106493,143133,143969,108735,89262,113757,152430,104607,121795,69971,75503,79000,160044,93574,127422,109973,173557,1309663
109960,122914,98820,103362,99332,76808,72030,160002,100490,75896,79387,106594,143142,143883,108667,89453,113661,152592,104581,121463,69896,75504,78984,160584,93591,127043,109960,173590,1312093
109846,123005,98891,103386,99422,76803,72029,159838,100442,75943,79400,106581,143005,143674,108632,89292,113570,152430,104528,121635,69841,75584,79033,160387,93486,127166,109846,173192,1310883
109743,122840,98878,103440,99293,76757,71997,159732,100422,75889,79393,106571,142951,143590,108514,89330,113522,152353,104600,121458,69815,75548,79045,160255,93509,127061,109743,173090,1310283
109674,122993,98941,103441,99336,76716,71968,160091,100310,75899,79354,106555,142941,143421,108515,89164,113451,152321,104533,121686,69748,75638,79089,160568,93564,127221,109674,173753,1314333
109681,122935,98914,103251,99261,76740,72104,160140,100539,75900,79230,106387,142907,143792,108494,89210,113249,152043,104369,121594,69877,75401,78723,161003,93732,126927,109681,173297,1315973
109673,122872,98905,103264,99230,76881,72233,160594,100034,76034,79388,106393,142637,142717,108470,89248,113257,151761,104395,121523,69947,75983,79345,161576,93780,126877,109673,173220,1314593
109646,122777,98931,103292,99254,77139,72219,160291,101080,76306,79675,106770,142119,143693,108474,89296,113258,151756,104397,121457,69760,75468,78808,161277,93551,126818,109646,173451,1315313
109674,122752,98923,103261,99220,77216,72300,160238,101271,76378,79731,106757,142016,143858,108495,89338,113253,151618,104372,121425,69825,75395,78714,161099,93507,126748,109674,173489,1315953
109637,122670,98977,103345,99136,77138,72228,160480,101241,76342,79716,106753,142111,143911,108517,89367,113310,151719,104401,121411,69862,75383,78723,161398,93520,126767,109637,172954,1316113
109671,122704,98936,103400,99163,77150,72254,160341,101267,76321,79770,106724,142130,143967,108506,89369,113402,151732,104499,121389,70009,75343,78754,161195,93671,126873,109671,173008,1316603
109692,122741,98941,103417,99154,77178,72269,160369,101297,76354,79814,106734,142111,143990,108533,89358,113444,151729,104514,121436,69935,75352,78774,161276,93671,126929,109692,172372,1315993
109735,122862,98897,103439,99064,77228,72298,160387,101255,76371,79884,106739,142066,143885,108528,89295,113512,151689,104565,121519,69892,75399,78874,161166,93698,127085,109735,172995,1314413
109738,122841,98878,103383,99025,77190,72263,160309,101274,76316,79799,106725,142144,143998,108509,89292,113449,151717,104519,121455,69776,75320,78774,161230,93478,127025,109738,172979,1313983
109780,122883,98866,103369,99061,77216,72359,160325,101304,76335,79818,106673,142148,144038,108538,89321,113482,151647,104539,121486,69819,75324,78769,161186,93597,127019,109780,172847,1313903
109741,122930,98907,103389,99078,77255,72303,160279,101440,76407,79872,106806,142028,144118,108544,89258,113463,151716,104520,121581,69738,75290,78719,161210,93529,127093,109741,172528,1313353
109690,122901,98944,103607,99010,76980,72451,160013,101109,76159,79753,106200,142468,144089,108532,89239,113652,151329,104695,121600,69718,75296,78857,160920,93540,127327,109690,172742,1314723
109740,122882,98902,103605,99053,76970,72392,159935,101127,76119,79745,106281,142552,144191,108535,89290,113700,151530,104739,121530,69839,75247,78839,160899,93641,127308,109740,172730,1313483
109779,122957,98877,103495,99112,76882,72432,160304,100973,76012,79567,106097,142766,144191,108547,89271,113620,151496,104655,121570,69622,75255,78784,161004,93637,127245,109779,172959,1313553
109703,122876,98927,103607,99008,76768,72380,160132,100841,75942,79535,106014,142881,144121,108530,89267,113665,151499,104711,121555,69782,75281,78854,160961,93729,127304,109703,172879,1313753
109623,122752,98989,103617,99004,76707,72294,160169,100837,75926,79481,106062,142890,144125,108516,89290,113593,151575,104662,121511,69797,75269,78803,160982,93753,127188,109623,172921,1314053
109607,122682,99012,103708,99095,76673,72230,159950,100884,75911,79513,106106,142929,144234,108527,89333,113673,151680,104721,121462,69823,75216,78798,160851,93860,127220,109607,172824,1313653
109655,122796,99041,103748,99092,76581,72084,159870,100783,75840,79447,106188,143168,144326,108605,89287,113767,152052,104736,121614,69683,75228,78812,160912,93662,127390,109655,172585,1313283
109744,122786,98868,103729,99205,76610,72162,160284,100792,75737,79465,106123,143230,144398,108504,89373,113840,152011,104903,121385,69612,75116,78822,161058,93625,127353,109744,172875,1313103
109719,122692,98929,103667,99082,76670,72215,160336,100954,75842,79478,106123,143088,144488,108549,89417,113745,151870,104775,121377,69669,75102,78710,161267,93560,127186,109719,172578,1313123
109662,122760,98884,103733,99041,76590,72208,160007,100797,75729,79446,106025,143160,144335,108440,89322,113758,151807,104890,121386,69860,75106,78801,160824,93660,127336,109662,172629,1313903
109744,122598,98840,103698,98957,76707,72226,160137,100852,75813,79542,106157,143047,144300,108474,89506,113804,151877,104900,121173,69851,75150,78854,160878,93588,127126,109744,172380,1314503
109757,122593,98839,103622,99000,76699,72283,160013,100976,75802,79474,106063,143081,144512,108486,89523,113736,151778,104824,121167,69795,75047,78688,160726,93596,127029,109757,172558,1315543
109772,122312,98830,103776,99132,76518,72170,160306,100884,75617,79406,105976,143449,144743,108486,89737,113919,152031,104992,120877,69717,74929,78691,160840,93475,126929,109772,172710,1316073
109489,122301,99046,103807,98903,76522,72198,160169,100946,75754,79437,105916,143020,144473,108453,89510,113654,151569,104782,121124,69822,75004,78653,161053,93535,126965,109489,172683,1315483
109243,122428,99169,104011,98848,76317,71912,159801,100820,75677,79374,106078,143126,144336,108340,89222,113629,151844,104868,121405,69850,75040,78716,159886,93571,127334,109243,172397,1316305
109333,122509,99162,103927,98860,76380,72001,159148,100783,75733,79378,106035,143122,144281,108416,89237,113630,151780,104795,121475,69957,75120,78746,160901,93625,127313,109333,172700,1315713
109442,122735,99112,103943,98825,76326,71971,158958,100719,75643,79334,106005,143369,144436,108473,89160,113758,151995,104861,121638,69983,75078,78751,161005,93598,127567,109442,172753,1317073
109330,122596,99265,103935,98832,76312,72000,159005,100797,75746,79313,105936,143246,144426,108529,89170,113636,151782,104692,121690,69964,75122,78669,161011,93606,127414,109330,172805,1316223
109256,122522,99301,103944,98911,76254,71972,159022,100812,75716,79260,105902,143262,144459,108494,89172,113570,151743,104661,121658,69934,75081,78604,161071,93600,127338,109256,172446,1315713
109265,122483,99265,103941,98924,76251,71942,159011,100798,75683,79252,105942,143274,144457,108464,89197,113573,151822,104698,121577,69930,75061,78610,161111,93559,127303,109265,172307,1314983
109285,122511,99238,103936,98901,76244,71912,159072,100868,75653,79230,105964,143243,144572,108468,89172,113600,151871,104678,121588,69888,75008,78555,161112,93498,127345,109285,172791,1314303
109238,122498,99275,103959,98827,76251,71872,159127,100868,75693,79277,106032,143223,144510,108446,89150,113559,151881,104663,121602,69915,75009,78554,161175,93594,127349,109238,172677,1314603
109273,122540,99261,103994,98852,76264,71889,159113,100855,75693,79310,106045,143260,144517,108468,89158,113643,151941,104753,121632,69875,75029,78621,161225,93514,127430,109273,172607,1313773
109289,122549,99259,104108,99024,76318,71861,159098,100939,75746,79452,106155,143181,144559,108483,89167,113781,152013,104869,121637,69952,75018,78696,161438,93654,127577,109289,172644,1313563
