open,close,high,low
178.592,178.468,178.653,178.374
178.517,178.242,178.541,178.238
178.244,178.391,178.41,178.132
178.396,178.569,178.652,178.367
178.57,178.819,178.877,178.471
178.822,178.721,178.907,178.67
178.719,178.708,178.812,178.509
178.709,178.57,178.71,178.484
178.567,178.505,178.567,178.29
178.506,178.535,178.567,178.325
178.532,178.765,178.868,178.532
178.765,178.592,178.898,178.532
178.572,178.468,178.638,178.377
178.472,178.704,178.727,178.44
178.707,178.489,178.734,178.356
178.493,178.838,178.838,178.337
178.838,178.805,178.921,178.579
178.805,178.888,179.025,178.767
178.888,178.739,178.958,178.735
178.737,178.946,179.027,178.737
178.947,179.066,179.083,178.905
179.066,179.013,179.179,178.962
179.011,179.087,179.098,178.979
179.089,179.193,179.242,179.037
179.195,179.038,179.195,179.002
179.038,178.972,179.078,178.893
178.973,178.92,179.067,178.915
178.923,178.983,179.011,178.897
178.981,179.069,179.118,178.958
179.068,179.024,179.092,178.983
179.026,178.956,179.094,178.943
178.955,179.006,179.091,178.909
179.037,179.117,179.182,179.006
179.131,178.998,179.149,178.996
178.999,178.783,179.004,178.75
178.782,178.848,178.909,178.753
178.847,178.816,178.861,178.786
178.808,178.764,178.819,178.707
178.765,178.844,178.867,178.72
178.845,178.794,178.908,178.785
178.796,178.75,178.809,178.725
178.751,178.823,178.855,178.69
178.845,178.703,178.85,178.688
178.705,178.623,178.788,178.616
178.622,178.734,178.797,178.622
178.739,178.457,178.754,178.432
178.454,178.721,178.796,178.418
178.721,178.739,178.791,178.519
178.734,178.708,178.844,178.594
178.709,178.631,178.81,178.56
178.631,178.496,178.684,178.484
178.455,178.53,178.622,178.018
178.527,178.348,178.612,178.33
178.354,178.054,178.399,177.982
178.055,177.933,178.087,177.881
177.932,178.033,178.042,177.788
178.028,178.299,178.453,177.992
178.294,178.242,178.665,178.132
178.239,178.12,178.333,177.971
178.117,178.03,178.19,177.912
178.041,177.921,178.209,177.734
177.919,178.061,178.138,177.888
178.06,178.108,178.129,177.917
178.107,178.268,178.365,178.01
178.273,178.117,178.372,178.111
178.118,178.069,178.19,178.05
178.071,177.952,178.107,177.912
177.954,177.856,177.972,177.784
177.858,177.568,177.917,177.499
177.567,177.626,177.644,177.527
177.622,177.666,177.727,177.586
177.667,177.657,177.772,177.642
177.669,177.69,177.75,177.669
177.689,177.791,177.81,177.685
177.79,177.79,177.831,177.71
177.771,177.707,177.781,177.703
177.711,177.636,177.732,177.58
177.633,177.695,177.701,177.619
177.697,177.74,177.79,177.686
177.738,177.653,177.747,177.627
177.64,177.818,177.861,177.64
177.816,177.965,178.03,177.784
177.962,177.903,177.965,177.848
177.903,177.983,178.06,177.89
177.982,177.96,178.038,177.894
177.96,177.912,177.961,177.863
177.909,177.867,177.923,177.841
177.865,177.829,177.891,177.785
177.827,177.76,177.876,177.747
177.763,177.74,177.796,177.709
177.739,177.692,177.765,177.646
177.694,177.797,177.837,177.658
177.799,177.888,177.911,177.785
177.888,177.806,177.955,177.766
177.806,177.976,177.995,177.725
177.976,178.149,178.155,177.912
178.152,178.009,178.205,177.978
178.007,177.812,178.008,177.787
177.809,177.962,177.975,177.735
177.954,178.053,178.129,177.943
178.053,177.942,178.117,177.915
177.95,177.92,178.024,177.82
177.924,178.23,178.273,177.81
178.229,178.186,178.247,177.989
178.187,178.229,178.327,178.136
178.231,178.009,178.356,177.996
178.015,178.005,178.08,177.836
178.006,177.978,178.149,177.803
177.976,178.075,178.137,177.947
178.058,177.898,178.095,177.724
177.899,177.943,177.943,177.767
177.943,178.024,178.052,177.756
178.024,177.895,178.043,177.863
177.895,177.922,177.928,177.823
177.92,177.887,178.027,177.883
177.888,177.821,177.924,177.801
177.821,177.972,178.018,177.812
177.974,177.8,178.008,177.8
177.793,177.744,177.836,177.687
177.745,177.544,177.757,177.527
177.547,177.683,177.699,177.537
177.682,177.772,177.797,177.649
177.761,177.78,177.83,177.733
177.781,177.818,177.874,177.738
177.817,177.799,177.827,177.748
177.8,177.792,177.829,177.779
177.793,177.841,177.849,177.767
177.841,177.777,177.906,177.768
177.776,177.722,177.82,177.648
177.721,177.734,177.851,177.703
177.734,177.704,177.76,177.647
177.703,177.547,177.716,177.526
177.547,177.617,177.667,177.528
177.623,177.626,177.678,177.57
177.627,177.584,177.666,177.535
177.585,177.552,177.591,177.503
177.551,177.157,177.575,177.106
177.16,177.198,177.209,177.002
177.198,177.141,177.228,177.11
177.145,176.968,177.149,176.912
176.963,176.878,177.024,176.834
176.878,176.513,176.899,176.472
176.512,176.943,176.973,176.461
